method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
MGDA,0.0,22,mlp128,2.0,mad,50,0.1416086144411842,27.73620609454129,150.4957531501844
MGDA,0.0,33,mlp128,2.0,mad,50,0.1380673561270616,21.545021902112705,127.98489555504122
MGDA,0.0,44,mlp128,2.0,mad,50,0.1297044477485724,20.65506208199385,128.91871034070695
MGDA,0.0,55,mlp128,2.0,mad,50,0.1341181823038207,30.49888910323227,130.01751641068284
NashMTL,0.0,11,mlp128,2.0,mad,50,0.133972218378035,31.49952780515028,134.50686148221484
NashMTL,0.0,22,mlp128,2.0,mad,50,0.1281984113421077,26.292622516370884,130.49149727983954
NashMTL,0.0,33,mlp128,2.0,mad,50,0.1288149861288424,44.7860966737137,169.8840525261338
NashMTL,0.0,44,mlp128,2.0,mad,50,0.1267106787966341,25.214113423956388,128.13611588963073
NashMTL,0.0,55,mlp128,2.0,mad,50,0.1279650321034466,37.65969869937605,145.16382598393366
PCGrad,0.0,11,mlp128,2.0,mad,50,0.1333185743311057,27.08832700326093,155.75726369633873
PCGrad,0.0,22,mlp128,2.0,mad,50,0.1300427631287647,21.01365113392668,142.58524715343842
PCGrad,0.0,33,mlp128,2.0,mad,50,0.1283667884688082,23.46650196525964,135.48916845844687
PCGrad,0.0,44,mlp128,2.0,mad,50,0.1286102126378897,15.802651959682445,143.68188762936467
PCGrad,0.0,55,mlp128,2.0,mad,50,0.1284392417780536,30.724876451139338,130.5931160889651
SAA,0.0,11,mlp128,2.0,mad,50,0.2799676349803477,46.01171050806397,246.50197799107875
SAA,0.0,22,mlp128,2.0,mad,50,0.2770559949067639,71.91671485231049,248.0466931442711
SAA,0.0,33,mlp128,2.0,mad,50,0.2839504406487435,54.77579016419693,257.0805805632122
SAA,0.0,44,mlp128,2.0,mad,50,0.2761333487031433,54.34970351549448,245.7663625637045
SAA,0.0,55,mlp128,2.0,mad,50,0.279990990704247,68.78491753027635,249.31581807065456
WDRO,0.0,11,mlp128,2.0,mad,50,0.1426402475231583,24.7307669047536,121.44049330812676
WDRO,0.0,22,mlp128,2.0,mad,50,0.1370868294716055,21.53687952378432,120.47535376915523
WDRO,0.0,33,mlp128,2.0,mad,50,0.1375036338650254,18.84333998005956,119.86971070706922
WDRO,0.0,44,mlp128,2.0,mad,50,0.1365058748809268,18.70129742666092,117.96347497403168
WDRO,0.0,55,mlp128,2.0,mad,50,0.1382671217082276,29.20753084425248,122.86360519294476
FDFL-0.1,0.0,11,mlp16,2.0,mad,50,0.1333254518000172,46.75939313732973,142.50168239582644
FDFL-0.1,1.0,11,mlp16,2.0,mad,50,0.1318219171419178,22.848473899359263,155.56928157230655
FDFL-0.1,0.0,22,mlp16,2.0,mad,50,0.1293012772465505,79.32150621484105,283.1727098356059
FDFL-0.1,1.0,22,mlp16,2.0,mad,50,0.129098552088388,25.1002053406303,131.28966792417458
FDFL-0.1,0.0,33,mlp16,2.0,mad,50,0.1272352746840757,90.07832094932716,352.94296443017333
FDFL-0.1,1.0,33,mlp16,2.0,mad,50,0.1288773141372502,25.418785269555844,140.32023188021023
FDFL-0.1,0.0,44,mlp16,2.0,mad,50,0.1279848360365267,28.25591626503596,135.3605282989302
FDFL-0.1,1.0,44,mlp16,2.0,mad,50,0.1296398659604866,23.452798433168702,130.26647782449453
FDFL-0.1,0.0,55,mlp16,2.0,mad,50,0.1286273449747079,35.134925062671115,131.22680910737506
FDFL-0.1,1.0,55,mlp16,2.0,mad,50,0.1287355780670427,31.63291772025409,141.1353290267862
FDFL-0.5,0.0,11,mlp16,2.0,mad,50,0.1335814078642107,30.202557746795254,128.15372421534144
FDFL-0.5,1.0,11,mlp16,2.0,mad,50,0.1340393751691033,25.69125938841489,131.32534158553062
FDFL-0.5,0.0,22,mlp16,2.0,mad,50,0.1268224749052897,27.270808793133003,126.77355349938335
FDFL-0.5,1.0,22,mlp16,2.0,mad,50,0.1294392571096207,25.15363139707445,129.2423777346087
FDFL-0.5,0.0,33,mlp16,2.0,mad,50,0.1281412412980128,26.873600281675422,127.08175178833312
FDFL-0.5,1.0,33,mlp16,2.0,mad,50,0.1286489899162444,22.607106360838376,126.06826366950456
